Марка;Ссылка;Цена в $;Цена в грн;Город
Skoda Kodiaq 2021 Style 2.0 TSI AT (180 л.с.) 4x4;https://auto.ria.com/newauto/auto-skoda-kodiaq-1860419.html;35 415 $;1 008 123 грн;Кременчуг 
Skoda Octavia 2020 Ambition 1.5 TSI MT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-octavia-1845767.html;23 500 $;651 432 грн;Харьков 
Skoda Karoq 2021 Active 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-karoq-1859422.html;23 000 $;637 572 грн;Харьков 
Skoda Karoq 2021 Style 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-karoq-1860594.html;27 153 $;752 695 грн;Одесса 
Skoda Karoq 2021 Style 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-karoq-1857050.html;26 900 $;745 681 грн;Харьков 
Skoda Kodiaq 2020 Style 2.0 TSI AT (180 л.с.) 4x4;https://auto.ria.com/newauto/auto-skoda-kodiaq-1855652.html;36 615 $;1 015 000 грн;Полтава 
Skoda Karoq 2021 Style 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-karoq-1859717.html;26 491 $;752 715 грн;Днепр (Днепропетровск) 
Skoda Kodiaq 2021 Sportline 2.0 TSI AT (180 л.с.) 4x4;https://auto.ria.com/newauto/auto-skoda-kodiaq-1859837.html;37 465 $;1 066 479 грн;Кременчуг 
Skoda Octavia 2021 Ambition 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-octavia-1860518.html;25 787 $;713 000 грн;Кропивницкий (Кировоград) 
Skoda Kodiaq 2021 Style 2.0 TDI AT (150 л.с.) 4x4;https://auto.ria.com/newauto/auto-skoda-kodiaq-1857091.html;40 259 $;1 116 000 грн;Полтава 
Skoda Octavia 2021 Ambition 1.4 TSI MT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-octavia-1860316.html;23 530 $;669 805 грн;Кременчуг 
Skoda Kodiaq 2021 Style 2.0 TSI AT (180 л.с.) 4x4;https://auto.ria.com/newauto/auto-skoda-kodiaq-1859723.html;35 425 $;1 006 566 грн;Днепр (Днепропетровск) 
Skoda Superb 2021 Style New 2.0 TSI АT (190 л.с.);https://auto.ria.com/newauto/auto-skoda-superb-1858428.html;39 200 $;1 115 867 грн;Кременчуг 
Skoda Kamiq 2021 Active 1.6 MPI MT (110 л.с.);https://auto.ria.com/newauto/auto-skoda-kamiq-1852899.html;18 100 $;501 741 грн;Харьков 
Skoda Scala 2021 Ambition 1.5 TSI DSG (150 л.с.);https://auto.ria.com/newauto/auto-skoda-scala-1856564.html;23 311 $;646 202 грн;Полтава 
Skoda Karoq 2021 Style 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-karoq-1860418.html;26 670 $;737 400 грн;Кропивницкий (Кировоград) 
Skoda Kamiq 2021 Ambition 1.6 MPI MT (110 л.с.);https://auto.ria.com/newauto/auto-skoda-kamiq-1858731.html;21 859 $;605 935 грн;Днепр (Днепропетровск) 
Skoda Scala 2020 Ambition 1.5 TSI DSG (150 л.с.);https://auto.ria.com/newauto/auto-skoda-scala-1854095.html;22 567 $;642 392 грн;Кременчуг 
Skoda Karoq 2021 Style 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-karoq-1841366.html;27 380 $;759 000 грн;Тернополь 
Skoda Superb 2020 Style 2.0 TSI DSG (190 л.с.);https://auto.ria.com/newauto/auto-skoda-superb-1850603.html;40 199 $;1 114 338 грн;Полтава 
Skoda Scala 2019 Individual 1.6 TDI DSG (115 л.с.);https://auto.ria.com/newauto/auto-skoda-scala-1824697.html;25 382 $;701 800 грн;Кропивницкий (Кировоград) 
Skoda Kodiaq 2021 Style 1.4 TSI AT (150 л.с.) 4x4;https://auto.ria.com/newauto/auto-skoda-kodiaq-1842637.html;34 740 $;963 000 грн;Полтава 
Skoda Octavia 2020 Ambition 1.5 TSI MT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-octavia-1859197.html;23 689 $;655 000 грн;Кропивницкий (Кировоград) 
Skoda Kamiq 2021 Ambition 1.5 TSI 7DSG (150 л.с.);https://auto.ria.com/newauto/auto-skoda-kamiq-1860216.html;26 865 $;744 711 грн;Одесса 
Skoda Octavia 2021 Ambition 1.4 TSI MT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-octavia-1860094.html;24 597 $;680 100 грн;Кропивницкий (Кировоград) 
Skoda Octavia 2020 Ambition 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-octavia-1851028.html;25 205 $;696 900 грн;Кропивницкий (Кировоград) 
Skoda Scala 2020 Ambition 1.5 TSI DSG (150 л.с.);https://auto.ria.com/newauto/auto-skoda-scala-1858541.html;22 732 $;647 089 грн;Кременчуг 
Skoda Superb 2020 Style 2.0 TSI DSG (190 л.с.);https://auto.ria.com/newauto/auto-skoda-superb-1819651.html;39 500 $;1 094 960 грн;Харьков 
Skoda Kodiaq 2021 Style 2.0 TDI AT (150 л.с.) 4x4;https://auto.ria.com/newauto/auto-skoda-kodiaq-1859209.html;38 424 $;1 065 125 грн;Краматорск 
Skoda Scala 2021 Ambition 1.6 MPI MT (110 л.с.);https://auto.ria.com/newauto/auto-skoda-scala-1859217.html;19 865 $;550 670 грн;Краматорск 
Skoda Superb 2021 Style 2.0 TSI DSG (190 л.с.);https://auto.ria.com/newauto/auto-skoda-superb-1859001.html;40 198 $;1 114 300 грн;Краматорск 
Skoda Superb 2021 Style 2.0 TSI DSG (190 л.с.);https://auto.ria.com/newauto/auto-skoda-superb-1856575.html;40 301 $;1 114 300 грн;Кропивницкий (Кировоград) 
Skoda Scala 2020 Ambition 1.5 TSI DSG (150 л.с.);https://auto.ria.com/newauto/auto-skoda-scala-1858547.html;22 732 $;647 089 грн;Кременчуг 
Skoda Octavia 2020 Ambition 1.5 TSI MT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-octavia-1854251.html;22 865 $;650 875 грн;Кременчуг 
Skoda Karoq 2021 Style 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-karoq-1858279.html;26 306 $;748 827 грн;Кременчуг 
Skoda Kamiq 2020 Ambition 1.6 MPI MT (110 л.с.);https://auto.ria.com/newauto/auto-skoda-kamiq-1856597.html;20 802 $;576 650 грн;Краматорск 
Skoda Octavia 2020 Ambition 1.5 TSI MT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-octavia-1859742.html;24 360 $;692 165 грн;Днепр (Днепропетровск) 
Skoda Octavia 2020 Ambition 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-octavia-1849702.html;26 010 $;721 000 грн;Ивано-Франковск 
Skoda Octavia 2020 Ambition 1.5 TSI MT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-octavia-1846444.html;24 187 $;668 750 грн;Кропивницкий (Кировоград) 
Skoda Octavia 2020 Ambition 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-octavia-1856604.html;24 042 $;666 450 грн;Краматорск 
Skoda Kodiaq 2021 Individual 2.0 TDI AT (150 л.с.) 4x4;https://auto.ria.com/newauto/auto-skoda-kodiaq-1857286.html;37 806 $;1 048 000 грн;Тернополь 
Skoda Scala 2020 Style 1.5 TSI DSG (150 л.с.);https://auto.ria.com/newauto/auto-skoda-scala-1840023.html;25 600 $;709 645 грн;Харьков 
Skoda Kamiq 2020 Active 1.6 MPI AT (110 л.с.);https://auto.ria.com/newauto/auto-skoda-kamiq-1855092.html;20 021 $;555 000 грн;Херсон 
Skoda Enyaq iV 2021 80X 82kWh AWD;https://auto.ria.com/newauto/auto-skoda-enyaq-iv-1845899.html;69 400 $;1 923 803 грн;Киев 
Skoda Karoq 2021 Style 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-karoq-1855416.html;27 233 $;754 900 грн;Ивано-Франковск 
Skoda Kodiaq 2021 Individual 2.0 TDI AT (150 л.с.) 4x4;https://auto.ria.com/newauto/auto-skoda-kodiaq-1857457.html;37 806 $;1 048 000 грн;Тернополь 
Skoda Octavia 2020 Ambition 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-octavia-1850540.html;24 042 $;666 450 грн;Краматорск 
Skoda Karoq 2021 Style 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-karoq-1860482.html;28 517 $;790 500 грн;Днепр (Днепропетровск) 
Skoda Fabia 2019 Ambition 1.0 TSI MT (95 л.с.);https://auto.ria.com/newauto/auto-skoda-fabia-1850539.html;15 659 $;434 065 грн;Краматорск 
Skoda Karoq 2021 Ambition 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-karoq-1856594.html;25 513 $;707 240 грн;Краматорск 
Skoda Octavia 2021 Ambition 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-octavia-1859858.html;25 700 $;712 417 грн;Харьков 
Skoda Kamiq 2021 Active 1.6 MPI AT (110 л.с.);https://auto.ria.com/newauto/auto-skoda-kamiq-1859340.html;20 021 $;555 000 грн;Херсон 
Skoda Kodiaq 2021 Sportline 2.0 TSI AT (180 л.с.) 4x4;https://auto.ria.com/newauto/auto-skoda-kodiaq-1859783.html;39 862 $;1 105 000 грн;Херсон 
Skoda Kodiaq 2021 Style 2.0 TDI AT (200 л.с.) 4x4;https://auto.ria.com/newauto/auto-skoda-kodiaq-1859889.html;42 929 $;1 190 000 грн;Херсон 
Skoda Kodiaq 2021 Individual 2.0 TDI AT (150 л.с.) 4x4;https://auto.ria.com/newauto/auto-skoda-kodiaq-1854365.html;37 806 $;1 048 000 грн;Тернополь 
Skoda Kodiaq 2021 Sportline 2.0 TSI AT (180 л.с.) 4x4;https://auto.ria.com/newauto/auto-skoda-kodiaq-1847627.html;38 518 $;1 065 000 грн;Кропивницкий (Кировоград) 
Skoda Karoq 2021 Style 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-karoq-1858147.html;27 236 $;753 050 грн;Кропивницкий (Кировоград) 
Skoda Enyaq iV 2021 80X 82kWh AWD;https://auto.ria.com/newauto/auto-skoda-enyaq-iv-1845900.html;69 900 $;1 937 663 грн;Киев 
Skoda Kamiq 2021 Active 1.6 MPI MT (110 л.с.);https://auto.ria.com/newauto/auto-skoda-kamiq-1860473.html;18 261 $;506 200 грн;Днепр (Днепропетровск) 
Skoda Karoq 2021 Style 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-karoq-1851355.html;27 236 $;753 050 грн;Кропивницкий (Кировоград) 
Skoda Scala 2020 Style 1.5 TSI DSG (150 л.с.);https://auto.ria.com/newauto/auto-skoda-scala-1854311.html;24 200 $;670 836 грн;Харьков 
Skoda Octavia 2020 Individual 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-octavia-1855108.html;32 106 $;890 000 грн;Херсон 
Skoda Kodiaq 2020 Ambition 2.0 TSI AT (180 л.с.) 4x4;https://auto.ria.com/newauto/auto-skoda-kodiaq-1848063.html;35 722 $;990 220 грн;Краматорск 
Skoda Superb 2021 Style 2.0 TSI DSG (190 л.с.);https://auto.ria.com/newauto/auto-skoda-superb-1856442.html;39 800 $;1 103 276 грн;Харьков 
Skoda Scala 2019 Style 1.6 TDI DSG (115 л.с.);https://auto.ria.com/newauto/auto-skoda-scala-1855076.html;24 314 $;674 000 грн;Херсон 
Skoda Karoq 2021 Active 2.0 TDI MT (115 л.с.);https://auto.ria.com/newauto/auto-skoda-karoq-1859624.html;23 845 $;661 000 грн;Херсон 
Skoda Superb 2021 Style 2.0 TSI DSG (190 л.с.);https://auto.ria.com/newauto/auto-skoda-superb-1855358.html;40 180 $;1 113 810 грн;Одесса 
Skoda Scala 2020 Style 1.5 TSI DSG (150 л.с.);https://auto.ria.com/newauto/auto-skoda-scala-1854842.html;24 465 $;678 182 грн;Одесса 
Skoda Karoq 2021 Style 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-karoq-1860010.html;26 491 $;754 093 грн;Кременчуг 
Skoda Octavia 2020 Ambition 1.5 TSI MT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-octavia-1847824.html;24 011 $;665 600 грн;Краматорск 
Skoda Karoq 2021 Active 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-karoq-1858479.html;21 627 $;599 500 грн;Херсон 
Skoda Kodiaq 2021 Style 2.0 TDI AT (200 л.с.) 4x4;https://auto.ria.com/newauto/auto-skoda-kodiaq-1858494.html;43 289 $;1 200 000 грн;Херсон 
Skoda Karoq 2021 Style 2.0 TDI DSG (115 л.с.);https://auto.ria.com/newauto/auto-skoda-karoq-1859621.html;30 555 $;847 000 грн;Херсон 
Skoda Kodiaq 2020 Sportline 2.0 TSI AT (180 л.с.) 4x4;https://auto.ria.com/newauto/auto-skoda-kodiaq-1851378.html;39 754 $;1 102 000 грн;Херсон 
Skoda Octavia 2021 Ambition 1.5 TSI MT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-octavia-1846585.html;23 574 $;653 483 грн;Одесса 
Skoda Scala 2020 Style 1.5 TSI DSG (150 л.с.);https://auto.ria.com/newauto/auto-skoda-scala-1840366.html;23 650 $;655 590 грн;Одесса 
Skoda Scala 2020 Ambition 1.5 TSI DSG (150 л.с.);https://auto.ria.com/newauto/auto-skoda-scala-1840066.html;23 510 $;651 704 грн;Днепр (Днепропетровск) 
Skoda Octavia 2020 Active 1.4 TSI MT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-octavia-1848069.html;21 403 $;593 300 грн;Ивано-Франковск 
Skoda Fabia 2020 Ambition 1.0 TSI MT (95 л.с.);https://auto.ria.com/newauto/auto-skoda-fabia-1848123.html;16 069 $;445 430 грн;Днепр (Днепропетровск) 
Skoda Octavia 2021 Ambition 1.6 MPI AT (110 л.с.);https://auto.ria.com/newauto/auto-skoda-octavia-1859793.html;23 660 $;655 857 грн;Днепр (Днепропетровск) 
Skoda Octavia 2021 Style 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-octavia-1859791.html;29 509 $;818 000 грн;Днепр (Днепропетровск) 
Skoda Octavia 2021 Ambition 1.4 TSI MT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-octavia-1845866.html;24 281 $;673 082 грн;Днепр (Днепропетровск) 
Skoda Octavia 2020 Ambition 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-octavia-1857922.html;25 545 $;708 124 грн;Днепр (Днепропетровск) 
Skoda Octavia 2020 Ambition 1.5 TSI MT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-octavia-1857715.html;24 216 $;671 285 грн;Днепр (Днепропетровск) 
Skoda Karoq 2021 Style 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-karoq-1856145.html;27 417 $;760 000 грн;Харьков 
Skoda Karoq 2021 Active 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-karoq-1859046.html;23 088 $;640 000 грн;Харьков 
Skoda Karoq 2021 Style 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-karoq-1860579.html;27 236 $;755 000 грн;Харьков 
Skoda Octavia 2018 Ambition A7 New 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-octavia-1843363.html;21 792 $;595 000 грн;Ровно 
